date,D. acuminata,D. acuta,D. norvegica
2009-11-02,0,0,0
2009-11-08,0,0,0
2009-11-16,0,0,0
2010-01-18,0,0,0
2010-01-24,0,0,0
2010-02-01,0,0,0
2010-02-08,0,0,0
2010-02-15,0,0,0
2010-02-22,0,0,0
2010-03-01,0,0,0
2010-03-08,0,0,0
2010-03-15,0,0,0
2010-03-22,0,0,0
2010-04-12,0,0,0
2010-04-19,0,0,0
2010-04-26,0,0,0
2010-05-03,0,0,0
2010-05-10,0,0,0
2010-05-18,0,0,0
2010-05-25,0,0,0
2010-05-31,0,0,0
2010-06-07,0,0,0
2010-06-14,0,0,0
2010-06-21,0,0,0
2010-06-28,80,0,0
2010-07-05,0,0,0
2010-07-19,480,0,40
2010-07-26,240,0,160
2010-08-02,160,0,0
2010-08-08,0,0,0
2010-08-16,80,0,80
2010-08-23,200,0,160
2010-08-30,120,0,240
2010-09-06,320,0,520
2010-09-13,40,0,160
2010-09-20,40,0,200
2010-09-27,40,0,0
2010-10-04,0,0,0
2010-10-11,0,40,40
2010-10-18,0,0,0
2010-10-25,0,0,0
2010-11-01,0,0,0
2010-11-08,0,0,0
2010-11-15,0,0,0
2010-11-22,0,0,40
2010-11-29,0,0,0
2010-12-06,0,0,0
2010-12-13,0,0,0
2012-03-05,0,0,0
2012-03-12,0,0,0
2012-03-19,0,0,0
2012-03-26,0,0,0
2012-04-10,0,0,0
2012-04-16,0,0,0
2012-04-23,0,0,0
2012-04-30,0,0,0
2012-05-07,0,0,0
2012-05-21,0,0,0
2012-05-29,0,0,0
2012-06-04,0,0,0
2012-06-11,0,0,0
2012-06-18,0,0,0
2012-06-25,0,0,0
2012-07-02,0,0,0
2012-07-09,200,0,0
2012-07-16,0,0,0
2012-07-23,160,0,80
2012-07-30,120,0,0
2012-08-06,120,0,0
2012-08-13,0,0,0
2012-08-20,0,0,40
2012-09-03,40,0,0
2012-09-10,0,0,0
2012-09-17,0,0,80
2012-09-24,0,0,0
2012-10-01,0,0,0
2012-10-08,0,0,0
2012-10-22,0,0,0
2012-10-29,0,0,0
2012-11-05,0,0,0
2012-11-12,0,0,0
2012-11-19,0,0,0
2012-11-26,0,0,0
