Dato,DSP
2015-06-22,
2015-06-29,
2015-07-06,
2015-07-13,
2015-07-20,
2015-07-27,20
2015-08-03,
2015-08-10,
2015-08-18,
2015-08-31,20
2015-09-07,
2015-09-14,
2015-09-21,20
2015-09-28,
2015-10-05,
2015-10-12,
2015-10-19,20
2015-10-26,
2015-11-09,
2015-11-16,20
2015-11-30,
2016-02-08,20
2016-02-15,
2016-02-22,
2016-02-29,
2016-03-07,20
2016-03-14,
2016-03-29,
2016-04-04,
2016-04-11,20
2016-04-18,
2016-04-25,
2016-05-02,
2016-05-09,20
2016-05-23,
2016-05-30,
2016-06-06,
2016-06-13,20
2016-06-20,
2016-06-27,20
2016-07-04,
2016-07-11,20
2016-07-18,
2016-07-25,
2016-08-01,
2016-08-08,20
2016-08-15,
2016-08-22,
2016-08-29,
2016-09-05,20
2016-09-12,
2016-09-19,
2016-09-26,
2016-10-03,20
2016-10-17,
2016-10-24,
2016-10-31,20
2016-11-07,
2016-11-14,
2017-02-13,
2017-02-20,
2017-02-26,20
2017-03-06,
2017-03-13,
2017-03-20,
2017-03-27,20
2017-04-03,
2017-04-18,
2017-04-24,20
2017-05-02,
2017-05-08,
2017-05-22,20
2017-05-29,
2017-06-06,
2017-06-12,20
2017-06-19,
2017-06-26,20
2017-07-03,
2017-07-10,
2017-07-17,20
2017-07-24,
2017-07-31,
2017-08-07,
2017-08-14,48.2970856987555
2017-08-21,
2017-08-28,
2017-09-11,237.965664465486
2017-09-18,
2017-09-25,
2017-10-02,
2017-10-09,66.4144374757701
2017-10-16,
2017-10-23,
2017-10-30,
2018-03-20,20
2018-04-04,
2018-04-09,
2018-04-16,20
2018-04-23,
2018-04-30,
2018-05-07,
2018-05-14,20
2018-05-22,
2018-05-28,
2018-06-04,
2018-06-11,20
2018-06-18,
2018-06-25,
2018-07-02,
2018-07-09,
2018-07-23,
2018-07-30,
2018-08-06,20
2018-08-13,
2018-08-20,
2018-08-27,
2018-09-03,24.9338153536881
2018-09-10,
2018-09-17,
2018-09-24,
2018-10-01,76.8375840458287
2018-10-08,
2018-10-15,
2018-10-22,
2018-10-29,53.3259555405797
2019-03-18,32.5965073899823
2019-03-25,
2019-04-01,
2019-04-08,20
2019-04-23,
2019-04-30,
2019-05-06,
2019-05-13,20
2019-05-20,
2019-05-27,
2019-06-03,
2019-06-11,20
2019-06-17,
2019-06-24,
2019-07-08,20
2019-07-15,
2019-07-22,
2019-07-29,20
2019-08-12,
2019-08-19,
2019-08-26,
2019-09-02,23.7745961540908
2019-09-09,
2019-09-16,
2019-09-23,71.2556939285444
2019-09-30,
2019-10-07,
2019-10-14,
2019-10-21,
2019-10-28,38.5513187676175
